Locations,State,rating
Delhi,Delhi,1526
Noida,UP,1469
Rajnagar,UP,1464
Gurgaon,Haryana,1444
Kundli,Haryana,1422
Ghaziabad,UP,1398
Faridabad,Haryana,1371
Manesar,Haryana,1353
Chandigarh,Chandigarh,1348
Sonipat,Haryana,1342
Panipat,Haryana,1320
Ambala,Haryana,1306
